239.75,1073.3
245.75,1049.3
248.75,1031.3
254.75,1017.8
260.75,995.25
251.75,978.75
251.75,959.25
239.75,938.25
235.25,914.25
235.25,893.25
232.25,867.75
229.25,846.75
229.25,821.25
229.25,803.25
226.25,770.25
211.25,743.25
191.75,713.25
163.25,692.25
152.75,681.75
134.75,671.25
119.75,656.25
104.75,644.25
89.75,629.25
71.75,615.75
53.75,603.75
41.75,590.25
38.75,579.75
35.75,563.25
40.25,549.75
55.25,543.75
70.25,545.25
80.75,549.75
92.75,555.75
103.25,567.75
127.25,585.75
143.75,596.25
163.25,609.75
184.25,621.75
197.75,627.75
218.75,639.75
245.75,651.75
260.75,657.75
269.75,654.75
283.25,639.75
290.75,621.75
283.25,599.25
277.25,581.25
266.75,558.75
253.25,534.75
253.25,516.75
247.25,489.75
241.25,461.25
238.25,437.25
233.75,414.75
223.25,401.25
218.75,377.25
215.75,351.75
217.25,330.75
233.75,318.75
250.25,317.25
263.75,324.75
272.75,339.75
277.25,362.25
283.25,384.75
290.75,402.75
301.25,423.75
310.25,441.75
317.75,461.25
322.25,480.75
335.75,501.75
349.25,525.75
361.25,549.75
368.75,572.25
376.25,587.25
386.75,590.25
397.25,566.25
395.75,539.25
395.75,507.75
398.75,479.25
398.75,456.75
400.25,434.25
404.75,419.25
409.25,396.75
410.75,380.25
410.75,356.25
412.25,330.75
407.75,308.25
404.75,281.25
406.25,263.25
425.75,249.75
442.25,246.75
460.25,251.25
470.75,276.75
472.25,306.75
479.75,339.75
481.25,363.75
484.25,399.75
484.25,446.25
482.75,465.75
482.75,488.25
484.25,512.25
487.25,542.25
487.25,570.75
493.25,581.25
512.75,578.25
526.25,566.25
535.25,543.75
547.25,515.25
560.75,486.75
568.25,474.75
577.25,455.25
586.25,434.25
593.75,419.25
599.75,399.75
605.75,375.75
610.25,359.25
625.25,333.75
635.75,324.75
650.75,323.25
667.25,321.75
679.25,342.75
685.25,365.25
682.25,387.75
676.25,407.25
668.75,428.25
656.75,447.75
653.75,470.25
646.25,494.25
643.25,510.75
631.25,545.25
625.25,561.75
613.25,590.25
608.75,612.75
602.75,644.25
599.75,678.75
605.75,720.75
619.25,743.25
637.25,758.25
647.75,777.75
668.75,798.75
700.25,795.75
730.25,779.25
755.75,770.25
779.75,752.25
818.75,737.25
845.75,726.75
877.25,729.75
893.75,722.25
910.25,743.25
919.25,759.75
905.75,773.25
878.75,788.25
868.25,798.75
856.25,810.75
848.75,824.25
832.25,839.25
805.25,857.25
791.75,863.25
766.25,876.75
755.75,884.25
734.75,902.25
707.75,923.25
701.75,932.25
682.25,947.25
668.75,959.25
652.25,974.25
643.25,986.25
631.25,998.25
619.25,1013.3
598.25,1035.8
586.25,1047.8
568.25,1064.3
553.25,1080.8
