time_id,day,start,end,slot_index
1,Lun,07:00,07:30,0
2,Lun,07:30,08:00,0
3,Lun,08:00,08:30,0
4,Lun,08:30,09:00,0
5,Lun,09:00,09:30,0
6,Lun,09:30,10:00,0
7,Lun,10:00,10:30,0
8,Lun,10:30,11:00,0
9,Lun,11:00,11:30,0
10,Lun,11:30,12:00,0
11,Lun,12:00,12:30,0
12,Lun,12:30,13:00,0
13,Lun,13:00,13:30,0
14,Lun,13:30,14:00,0
15,Lun,14:00,14:30,0
16,Lun,14:30,15:00,0
17,Lun,15:00,15:30,0
18,Lun,15:30,16:00,0
19,Lun,16:00,16:30,0
20,Lun,16:30,17:00,0
21,Lun,17:00,17:30,0
22,Lun,17:30,18:00,0
23,Lun,18:00,18:30,0
24,Lun,18:30,19:00,0
25,Lun,19:00,19:30,0
26,Lun,19:30,20:00,0
27,Mar,07:00,07:30,1
28,Mar,07:30,08:00,1
29,Mar,08:00,08:30,1
30,Mar,08:30,09:00,1
31,Mar,09:00,09:30,1
32,Mar,09:30,10:00,1
33,Mar,10:00,10:30,1
34,Mar,10:30,11:00,1
35,Mar,11:00,11:30,1
36,Mar,11:30,12:00,1
37,Mar,12:00,12:30,1
38,Mar,12:30,13:00,1
39,Mar,13:00,13:30,1
40,Mar,13:30,14:00,1
41,Mar,14:00,14:30,1
42,Mar,14:30,15:00,1
43,Mar,15:00,15:30,1
44,Mar,15:30,16:00,1
45,Mar,16:00,16:30,1
46,Mar,16:30,17:00,1
47,Mar,17:00,17:30,1
48,Mar,17:30,18:00,1
49,Mar,18:00,18:30,1
50,Mar,18:30,19:00,1
51,Mar,19:00,19:30,1
52,Mar,19:30,20:00,1
53,Mie,07:00,07:30,2
54,Mie,07:30,08:00,2
55,Mie,08:00,08:30,2
56,Mie,08:30,09:00,2
57,Mie,09:00,09:30,2
58,Mie,09:30,10:00,2
59,Mie,10:00,10:30,2
60,Mie,10:30,11:00,2
61,Mie,11:00,11:30,2
62,Mie,11:30,12:00,2
63,Mie,12:00,12:30,2
64,Mie,12:30,13:00,2
65,Mie,13:00,13:30,2
66,Mie,13:30,14:00,2
67,Mie,14:00,14:30,2
68,Mie,14:30,15:00,2
69,Mie,15:00,15:30,2
70,Mie,15:30,16:00,2
71,Mie,16:00,16:30,2
72,Mie,16:30,17:00,2
73,Mie,17:00,17:30,2
74,Mie,17:30,18:00,2
75,Mie,18:00,18:30,2
76,Mie,18:30,19:00,2
77,Mie,19:00,19:30,2
78,Mie,19:30,20:00,2
79,Jue,07:00,07:30,3
80,Jue,07:30,08:00,3
81,Jue,08:00,08:30,3
82,Jue,08:30,09:00,3
83,Jue,09:00,09:30,3
84,Jue,09:30,10:00,3
85,Jue,10:00,10:30,3
86,Jue,10:30,11:00,3
87,Jue,11:00,11:30,3
88,Jue,11:30,12:00,3
89,Jue,12:00,12:30,3
90,Jue,12:30,13:00,3
91,Jue,13:00,13:30,3
92,Jue,13:30,14:00,3
93,Jue,14:00,14:30,3
94,Jue,14:30,15:00,3
95,Jue,15:00,15:30,3
96,Jue,15:30,16:00,3
97,Jue,16:00,16:30,3
98,Jue,16:30,17:00,3
99,Jue,17:00,17:30,3
100,Jue,17:30,18:00,3
101,Jue,18:00,18:30,3
102,Jue,18:30,19:00,3
103,Jue,19:00,19:30,3
104,Jue,19:30,20:00,3
105,Vie,07:00,07:30,4
106,Vie,07:30,08:00,4
107,Vie,08:00,08:30,4
108,Vie,08:30,09:00,4
109,Vie,09:00,09:30,4
110,Vie,09:30,10:00,4
111,Vie,10:00,10:30,4
112,Vie,10:30,11:00,4
113,Vie,11:00,11:30,4
114,Vie,11:30,12:00,4
115,Vie,12:00,12:30,4
116,Vie,12:30,13:00,4
117,Vie,13:00,13:30,4
118,Vie,13:30,14:00,4
119,Vie,14:00,14:30,4
120,Vie,14:30,15:00,4
121,Vie,15:00,15:30,4
122,Vie,15:30,16:00,4
123,Vie,16:00,16:30,4
124,Vie,16:30,17:00,4
125,Vie,17:00,17:30,4
126,Vie,17:30,18:00,4
127,Vie,18:00,18:30,4
128,Vie,18:30,19:00,4
129,Vie,19:00,19:30,4
130,Vie,19:30,20:00,4
